date,region,resident,nonresident,total
2020-03-03,Anchorage,3,0,3
2020-03-04,Anchorage,1,0,1
2020-03-05,Anchorage,0,0,0
2020-03-06,Anchorage,0,0,0
2020-03-07,Anchorage,1,0,1
2020-03-08,Anchorage,0,0,0
2020-03-10,Anchorage,4,0,4
2020-03-11,Anchorage,1,1,2
2020-03-12,Anchorage,3,0,3
2020-03-13,Anchorage,0,0,0
2020-03-14,Anchorage,4,1,5
2020-03-15,Anchorage,5,0,5
2020-03-16,Anchorage,2,0,2
2020-03-17,Anchorage,8,0,8
2020-03-18,Anchorage,7,0,7
2020-03-19,Anchorage,6,0,6
2020-03-20,Anchorage,7,0,7
2020-03-21,Anchorage,4,0,4
2020-03-22,Anchorage,8,0,8
2020-03-23,Anchorage,10,0,10
2020-03-24,Anchorage,5,0,5
2020-03-25,Anchorage,4,0,4
2020-03-26,Anchorage,6,0,6
2020-03-27,Anchorage,7,0,7
2020-03-28,Anchorage,2,0,2
2020-03-29,Anchorage,5,0,5
2020-03-30,Anchorage,8,0,8
2020-03-31,Anchorage,4,0,4
2020-04-01,Anchorage,4,0,4
2020-04-02,Anchorage,6,0,6
2020-04-03,Anchorage,3,1,4
2020-04-04,Anchorage,6,0,6
2020-04-05,Anchorage,3,0,3
2020-04-06,Anchorage,2,0,2
2020-04-07,Anchorage,6,0,6
2020-04-08,Anchorage,3,1,4
2020-04-09,Anchorage,3,0,3
2020-04-10,Anchorage,2,0,2
2020-04-11,Anchorage,1,0,1
2020-04-12,Anchorage,2,0,2
2020-04-13,Anchorage,2,0,2
2020-04-14,Anchorage,5,0,5
2020-04-15,Anchorage,3,0,3
2020-04-16,Anchorage,2,0,2
2020-04-17,Anchorage,3,0,3
2020-04-18,Anchorage,4,0,4
2020-04-19,Anchorage,4,0,4
2020-04-20,Anchorage,1,0,1
2020-04-21,Anchorage,0,0,0
2020-04-23,Anchorage,2,0,2
2020-04-24,Anchorage,1,0,1
2020-04-25,Anchorage,1,0,1
2020-04-26,Anchorage,2,0,2
2020-04-27,Anchorage,1,0,1
2020-04-28,Anchorage,1,0,1
2020-04-29,Anchorage,0,0,0
2020-04-30,Anchorage,2,0,2
2020-05-01,Anchorage,2,0,2
2020-05-02,Anchorage,1,0,1
2020-05-03,Anchorage,0,0,0
2020-05-04,Anchorage,0,0,0
2020-05-06,Anchorage,1,0,1
2020-05-07,Anchorage,1,2,3
2020-05-09,Anchorage,0,0,0
2020-05-10,Anchorage,2,0,2
2020-05-11,Anchorage,1,1,2
2020-05-12,Anchorage,1,0,1
2020-05-13,Anchorage,3,0,3
2020-05-14,Anchorage,2,1,3
2020-05-15,Anchorage,1,0,1
2020-05-16,Anchorage,2,0,2
2020-05-17,Anchorage,0,0,0
2020-05-18,Anchorage,0,0,0
2020-05-19,Anchorage,0,0,0
2020-05-20,Anchorage,0,0,0
2020-05-21,Anchorage,0,2,2
2020-05-22,Anchorage,1,0,1
2020-05-23,Anchorage,0,0,0
2020-05-24,Anchorage,3,0,3
2020-05-25,Anchorage,1,0,1
2020-05-26,Anchorage,4,0,4
2020-05-27,Anchorage,6,1,7
2020-05-28,Anchorage,3,0,3
2020-05-29,Anchorage,14,2,16
2020-05-30,Anchorage,8,0,8
2020-05-31,Anchorage,9,0,9
2020-06-01,Anchorage,15,1,16
2020-06-02,Anchorage,4,1,5
2020-06-03,Anchorage,5,3,8
2020-06-04,Anchorage,8,4,12
2020-06-05,Anchorage,12,0,12
2020-06-06,Anchorage,2,1,3
2020-06-07,Anchorage,5,1,6
2020-06-08,Anchorage,5,1,6
2020-06-09,Anchorage,10,3,13
2020-06-10,Anchorage,6,1,7
2020-06-11,Anchorage,3,1,4
2020-06-12,Anchorage,6,2,8
2020-06-13,Anchorage,5,0,5
2020-06-14,Anchorage,4,0,4
2020-06-15,Anchorage,6,4,10
2020-06-16,Anchorage,6,1,7
2020-06-17,Anchorage,7,3,10
2020-06-18,Anchorage,6,1,7
2020-06-19,Anchorage,8,0,8
2020-06-20,Anchorage,5,1,6
2020-06-21,Anchorage,6,2,8
2020-06-22,Anchorage,18,2,20
2020-06-23,Anchorage,16,2,18
2020-06-24,Anchorage,12,1,13
2020-06-25,Anchorage,17,1,18
2020-06-26,Anchorage,16,4,20
2020-06-27,Anchorage,23,1,24
2020-06-28,Anchorage,18,1,19
2020-06-29,Anchorage,17,4,21
2020-06-30,Anchorage,16,0,16
2020-07-01,Anchorage,28,2,30
2020-07-02,Anchorage,35,1,36
2020-07-03,Anchorage,28,4,32
2020-07-04,Anchorage,24,1,25
2020-07-05,Anchorage,26,4,30
2020-07-06,Anchorage,31,4,35
2020-07-07,Anchorage,24,2,26
2020-07-08,Anchorage,45,4,49
2020-07-09,Anchorage,32,10,42
2020-07-10,Anchorage,31,5,36
2020-07-11,Anchorage,22,1,23
2020-07-12,Anchorage,32,1,33
2020-07-13,Anchorage,31,8,39
2020-07-14,Anchorage,40,3,43
2020-07-15,Anchorage,33,1,34
2020-07-16,Anchorage,51,3,54
2020-07-17,Anchorage,49,3,52
2020-07-18,Anchorage,32,2,34
2020-07-19,Anchorage,44,0,44
2020-07-20,Anchorage,68,0,68
2020-07-21,Anchorage,58,5,63
2020-07-22,Anchorage,58,6,64
2020-07-23,Anchorage,53,1,54
2020-07-24,Anchorage,50,7,57
2020-07-25,Anchorage,145,0,145
2020-07-26,Anchorage,48,3,51
2020-07-27,Anchorage,72,3,75
2020-07-28,Anchorage,69,5,74
2020-07-29,Anchorage,59,1,60
2020-07-30,Anchorage,46,1,47
2020-07-31,Anchorage,50,0,50
2020-08-01,Anchorage,34,1,35
2020-08-02,Anchorage,30,2,32
2020-08-03,Anchorage,48,1,49
2020-08-04,Anchorage,43,0,43
2020-08-05,Anchorage,43,1,44
2020-08-06,Anchorage,35,0,35
2020-08-07,Anchorage,37,1,38
2020-08-08,Anchorage,39,1,40
2020-08-09,Anchorage,28,0,28
2020-08-10,Anchorage,44,1,45
2020-08-11,Anchorage,57,0,57
2020-08-12,Anchorage,34,1,35
2020-08-13,Anchorage,47,0,47
2020-08-14,Anchorage,73,0,73
2020-08-15,Anchorage,20,0,20
2020-08-16,Anchorage,24,0,24
2020-08-17,Anchorage,35,0,35
2020-08-18,Anchorage,38,1,39
2020-08-19,Anchorage,54,0,54
2020-08-20,Anchorage,47,3,50
2020-08-21,Anchorage,43,0,43
2020-08-22,Anchorage,21,0,21
2020-08-23,Anchorage,33,2,35
2020-08-24,Anchorage,28,0,28
2020-08-25,Anchorage,34,2,36
2020-08-26,Anchorage,60,1,61
2020-08-27,Anchorage,46,2,48
2020-08-28,Anchorage,46,1,47
2020-08-29,Anchorage,14,0,14
2020-08-30,Anchorage,16,0,16
2020-08-31,Anchorage,37,1,38
2020-09-01,Anchorage,70,2,72
2020-09-02,Anchorage,53,0,53
2020-09-03,Anchorage,44,0,44
2020-09-04,Anchorage,30,1,31
2020-09-05,Anchorage,20,0,20
2020-09-06,Anchorage,16,0,16
2020-09-07,Anchorage,35,0,35
2020-09-08,Anchorage,42,3,45
2020-09-09,Anchorage,59,0,59
2020-09-10,Anchorage,62,2,64
2020-09-11,Anchorage,34,0,34
2020-09-12,Anchorage,34,0,34
2020-09-13,Anchorage,15,1,16
2020-09-14,Anchorage,51,0,51
2020-09-15,Anchorage,39,0,39
2020-09-16,Anchorage,62,0,62
2020-09-17,Anchorage,59,3,62
2020-09-18,Anchorage,56,1,57
2020-09-19,Anchorage,35,1,36
2020-09-20,Anchorage,43,0,43
2020-09-21,Anchorage,88,3,91
2020-09-22,Anchorage,65,5,70
2020-09-23,Anchorage,75,3,78
2020-09-24,Anchorage,61,1,62
2020-09-25,Anchorage,115,5,120
2020-09-26,Anchorage,51,3,54
2020-09-27,Anchorage,48,2,50
2020-09-28,Anchorage,108,1,109
2020-09-29,Anchorage,108,2,110
2020-09-30,Anchorage,94,0,94
2020-10-01,Anchorage,98,1,99
2020-10-02,Anchorage,93,2,95
2020-10-03,Anchorage,47,0,47
2020-10-04,Anchorage,48,2,50
2020-10-05,Anchorage,121,3,124
2020-10-06,Anchorage,137,1,138
2020-10-07,Anchorage,118,7,125
2020-10-08,Anchorage,112,4,116
2020-10-09,Anchorage,116,0,116
2020-10-10,Anchorage,80,2,82
2020-10-11,Anchorage,54,3,57
2020-10-12,Anchorage,137,1,138
2020-10-13,Anchorage,103,1,104
2020-10-14,Anchorage,175,1,176
2020-10-15,Anchorage,131,4,135
2020-10-16,Anchorage,176,1,177
2020-10-17,Anchorage,101,0,101
2020-10-18,Anchorage,66,0,66
2020-10-19,Anchorage,188,0,188
2020-10-20,Anchorage,157,0,157
2020-10-21,Anchorage,157,1,158
2020-10-22,Anchorage,170,1,171
2020-10-23,Anchorage,195,2,197
2020-10-24,Anchorage,133,4,137
2020-10-25,Anchorage,120,1,121
2020-10-26,Anchorage,270,2,272
2020-10-27,Anchorage,222,1,223
2020-10-28,Anchorage,312,3,315
2020-10-29,Anchorage,235,1,236
2020-10-30,Anchorage,270,3,273
2020-10-31,Anchorage,161,1,162
2020-11-01,Anchorage,120,2,122
2020-11-02,Anchorage,375,1,376
2020-11-03,Anchorage,295,4,299
2020-11-04,Anchorage,325,3,328
2020-11-05,Anchorage,308,2,310
2020-11-06,Anchorage,419,2,421
2020-11-07,Anchorage,393,2,395
2020-11-08,Anchorage,164,2,166
2020-11-09,Anchorage,612,6,618
2020-11-10,Anchorage,278,0,278
2020-11-11,Anchorage,303,2,305
2020-11-12,Anchorage,363,4,367
2020-11-13,Anchorage,372,1,373
2020-11-14,Anchorage,226,3,229
2020-11-15,Anchorage,179,1,180
2020-11-16,Anchorage,844,3,847
2020-11-17,Anchorage,383,1,384
2020-11-18,Anchorage,352,5,357
2020-11-19,Anchorage,242,0,242
2020-11-20,Anchorage,218,2,220
2020-11-21,Anchorage,189,2,191
2020-11-22,Anchorage,173,9,182
2020-11-23,Anchorage,363,4,367
2020-11-24,Anchorage,267,5,272
2020-11-25,Anchorage,252,5,257
2020-11-26,Anchorage,62,1,63
2020-11-27,Anchorage,195,0,195
2020-11-28,Anchorage,192,1,193
2020-11-29,Anchorage,164,1,165
2020-11-30,Anchorage,283,0,283
2020-12-01,Anchorage,257,3,260
2020-12-02,Anchorage,266,1,267
2020-12-03,Anchorage,177,1,178
2020-12-04,Anchorage,283,2,285
2020-12-05,Anchorage,165,0,165
2020-12-06,Anchorage,95,0,95
2020-12-07,Anchorage,249,0,249
2020-12-08,Anchorage,221,3,224
2020-12-09,Anchorage,224,3,227
2020-12-10,Anchorage,185,0,185
2020-12-11,Anchorage,289,1,290
2020-12-12,Anchorage,123,10,133
2020-12-13,Anchorage,83,0,83
2020-12-14,Anchorage,222,0,222
2020-12-15,Anchorage,139,1,140
2020-12-16,Anchorage,154,2,156
2020-12-17,Anchorage,136,3,139
2020-12-18,Anchorage,177,0,177
2020-12-19,Anchorage,108,0,108
2020-12-20,Anchorage,51,4,55
2020-12-21,Anchorage,107,7,114
2020-12-22,Anchorage,141,4,145
2020-12-23,Anchorage,116,4,120
2020-12-24,Anchorage,41,0,41
2020-12-25,Anchorage,25,0,25
2020-12-26,Anchorage,106,4,110
2020-12-27,Anchorage,83,0,83
2020-12-28,Anchorage,210,5,215
2020-12-29,Anchorage,108,4,112
2020-12-30,Anchorage,164,0,164
2020-12-31,Anchorage,96,1,97
2021-01-01,Anchorage,62,0,62
2021-01-02,Anchorage,101,2,103
2021-01-03,Anchorage,72,1,73
2021-01-04,Anchorage,159,4,163
2021-01-05,Anchorage,136,2,138
2021-01-06,Anchorage,103,0,103
2021-01-07,Anchorage,116,3,119
2021-01-08,Anchorage,89,2,91
2021-01-09,Anchorage,63,1,64
2021-01-10,Anchorage,60,2,62
2021-01-11,Anchorage,100,2,102
2021-01-12,Anchorage,82,0,82
2021-01-13,Anchorage,86,4,90
2021-01-14,Anchorage,65,3,68
2021-01-15,Anchorage,62,3,65
2021-01-16,Anchorage,47,0,47
2021-01-17,Anchorage,37,0,37
2021-01-18,Anchorage,60,2,62
2021-01-19,Anchorage,64,2,66
2021-01-20,Anchorage,66,1,67
2021-01-21,Anchorage,53,0,53
2021-01-22,Anchorage,72,0,72
2021-01-23,Anchorage,42,2,44
2021-01-24,Anchorage,30,0,30
2021-01-25,Anchorage,63,5,68
2021-01-26,Anchorage,58,1,59
2021-01-27,Anchorage,53,1,54
2021-01-28,Anchorage,33,14,47
2021-01-29,Anchorage,55,4,59
2021-01-30,Anchorage,40,2,42
2021-01-31,Anchorage,23,3,26
2021-02-01,Anchorage,48,4,52
2021-02-02,Anchorage,53,1,54
2021-02-03,Anchorage,43,1,44
2021-02-04,Anchorage,34,2,36
2021-02-05,Anchorage,40,3,43
2021-02-06,Anchorage,24,0,24
2021-02-07,Anchorage,34,1,35
2021-02-08,Anchorage,61,1,62
2021-02-09,Anchorage,62,0,62
2021-02-10,Anchorage,50,0,50
2021-02-11,Anchorage,30,0,30
2021-02-12,Anchorage,59,0,59
2021-02-13,Anchorage,20,1,21
2021-02-14,Anchorage,17,0,17
2021-02-15,Anchorage,37,0,37
2021-02-16,Anchorage,42,1,43
2021-02-17,Anchorage,50,0,50
2021-02-18,Anchorage,32,0,32
2021-02-19,Anchorage,36,2,38
2021-02-20,Anchorage,22,2,24
2021-02-21,Anchorage,12,0,12
2021-02-22,Anchorage,60,0,60
2021-02-23,Anchorage,25,1,26
2021-02-24,Anchorage,1,0,1
2020-03-03,Gulf Coast,0,0,0
2020-03-04,Gulf Coast,0,0,0
2020-03-05,Gulf Coast,0,0,0
2020-03-06,Gulf Coast,0,0,0
2020-03-07,Gulf Coast,0,0,0
2020-03-08,Gulf Coast,0,0,0
2020-03-10,Gulf Coast,1,0,1
2020-03-11,Gulf Coast,0,0,0
2020-03-12,Gulf Coast,0,0,0
2020-03-13,Gulf Coast,1,0,1
2020-03-14,Gulf Coast,0,0,0
2020-03-15,Gulf Coast,2,0,2
2020-03-16,Gulf Coast,0,0,0
2020-03-17,Gulf Coast,0,0,0
2020-03-18,Gulf Coast,1,0,1
2020-03-19,Gulf Coast,2,0,2
2020-03-20,Gulf Coast,1,0,1
2020-03-21,Gulf Coast,2,0,2
2020-03-22,Gulf Coast,0,0,0
2020-03-23,Gulf Coast,0,0,0
2020-03-24,Gulf Coast,0,0,0
2020-03-25,Gulf Coast,1,0,1
2020-03-26,Gulf Coast,0,0,0
2020-03-27,Gulf Coast,2,0,2
2020-03-28,Gulf Coast,0,0,0
2020-03-29,Gulf Coast,0,0,0
2020-03-30,Gulf Coast,2,0,2
2020-03-31,Gulf Coast,0,0,0
2020-04-01,Gulf Coast,0,0,0
2020-04-02,Gulf Coast,0,0,0
2020-04-03,Gulf Coast,0,0,0
2020-04-04,Gulf Coast,1,0,1
2020-04-05,Gulf Coast,0,0,0
2020-04-06,Gulf Coast,0,0,0
2020-04-07,Gulf Coast,0,0,0
2020-04-08,Gulf Coast,0,0,0
2020-04-09,Gulf Coast,0,0,0
2020-04-10,Gulf Coast,0,0,0
2020-04-11,Gulf Coast,1,0,1
2020-04-12,Gulf Coast,1,0,1
2020-04-13,Gulf Coast,1,0,1
2020-04-14,Gulf Coast,1,0,1
2020-04-15,Gulf Coast,0,0,0
2020-04-16,Gulf Coast,0,0,0
2020-04-17,Gulf Coast,0,0,0
2020-04-18,Gulf Coast,0,0,0
2020-04-19,Gulf Coast,0,0,0
2020-04-20,Gulf Coast,0,0,0
2020-04-21,Gulf Coast,1,0,1
2020-04-23,Gulf Coast,0,0,0
2020-04-24,Gulf Coast,0,0,0
2020-04-25,Gulf Coast,0,0,0
2020-04-26,Gulf Coast,0,0,0
2020-04-27,Gulf Coast,0,0,0
2020-04-28,Gulf Coast,1,0,1
2020-04-29,Gulf Coast,1,0,1
2020-04-30,Gulf Coast,0,0,0
2020-05-01,Gulf Coast,0,1,1
2020-05-02,Gulf Coast,0,0,0
2020-05-03,Gulf Coast,1,0,1
2020-05-04,Gulf Coast,1,0,1
2020-05-06,Gulf Coast,0,0,0
2020-05-07,Gulf Coast,0,0,0
2020-05-09,Gulf Coast,1,0,1
2020-05-10,Gulf Coast,0,0,0
2020-05-11,Gulf Coast,1,0,1
2020-05-12,Gulf Coast,0,0,0
2020-05-13,Gulf Coast,0,0,0
2020-05-14,Gulf Coast,1,0,1
2020-05-15,Gulf Coast,0,0,0
2020-05-16,Gulf Coast,1,0,1
2020-05-17,Gulf Coast,0,0,0
2020-05-18,Gulf Coast,1,0,1
2020-05-19,Gulf Coast,1,0,1
2020-05-20,Gulf Coast,1,1,2
2020-05-21,Gulf Coast,1,0,1
2020-05-22,Gulf Coast,1,2,3
2020-05-23,Gulf Coast,3,0,3
2020-05-24,Gulf Coast,2,0,2
2020-05-25,Gulf Coast,4,0,4
2020-05-26,Gulf Coast,2,1,3
2020-05-27,Gulf Coast,6,1,7
2020-05-28,Gulf Coast,5,1,6
2020-05-29,Gulf Coast,4,0,4
2020-05-30,Gulf Coast,3,0,3
2020-05-31,Gulf Coast,6,0,6
2020-06-01,Gulf Coast,6,9,15
2020-06-02,Gulf Coast,3,3,6
2020-06-03,Gulf Coast,4,2,6
2020-06-04,Gulf Coast,6,0,6
2020-06-05,Gulf Coast,9,0,9
