date,region,nonresident_cases
2020-03-12,Anchorage,1.0
2020-04-04,Anchorage,
2020-04-08,Anchorage,1.0
2020-04-10,Anchorage,1.0
2020-04-15,Anchorage,
2020-05-06,Anchorage,
2020-05-08,Anchorage,1.0
2020-05-14,Anchorage,1.0
2020-05-15,Anchorage,
2020-05-16,Anchorage,1.0
2020-05-19,Anchorage,2.0
2020-05-22,Anchorage,
2020-05-24,Anchorage,
2020-05-25,Anchorage,2.0
2020-05-28,Anchorage,
2020-05-29,Anchorage,
2020-05-30,Anchorage,
2020-06-01,Anchorage,
2020-06-02,Anchorage,1.0
2020-06-03,Anchorage,1.0
2020-06-04,Anchorage,2.0
2020-06-05,Anchorage,2.0
2020-06-06,Anchorage,1.0
2020-06-07,Anchorage,
2020-06-08,Anchorage,
2020-06-09,Anchorage,
2020-06-10,Anchorage,6.0
2020-06-11,Anchorage,3.0
2020-06-12,Anchorage,
2020-06-13,Anchorage,2.0
2020-06-14,Anchorage,
2020-06-15,Anchorage,1.0
2020-06-16,Anchorage,
2020-06-17,Anchorage,4.0
2020-06-18,Anchorage,2.0
2020-06-19,Anchorage,
2020-06-20,Anchorage,1.0
2020-06-21,Anchorage,
2020-06-22,Anchorage,1.0
2020-06-23,Anchorage,1.0
2020-06-24,Anchorage,2.0
2020-06-25,Anchorage,3.0
2020-06-26,Anchorage,2.0
2020-06-27,Anchorage,
2020-06-28,Anchorage,1.0
2020-06-29,Anchorage,1.0
2020-06-30,Anchorage,1.0
2020-07-01,Anchorage,1.0
2020-07-02,Anchorage,2.0
2020-07-03,Anchorage,2.0
2020-07-04,Anchorage,1.0
2020-07-05,Anchorage,
2020-07-06,Anchorage,5.0
2020-07-07,Anchorage,3.0
2020-07-08,Anchorage,2.0
2020-07-09,Anchorage,1.0
2020-07-10,Anchorage,5.0
2020-07-11,Anchorage,6.0
2020-07-12,Anchorage,9.0
2020-07-13,Anchorage,10.0
2020-07-14,Anchorage,4.0
2020-07-15,Anchorage,2.0
2020-07-16,Anchorage,
2020-07-17,Anchorage,4.0
2020-07-18,Anchorage,
2020-07-19,Anchorage,1.0
2020-07-20,Anchorage,3.0
2020-07-21,Anchorage,1.0
2020-07-22,Anchorage,1.0
2020-07-23,Anchorage,
2020-07-24,Anchorage,
2020-07-25,Anchorage,
2020-07-26,Anchorage,7.0
2020-07-27,Anchorage,4.0
2020-07-28,Anchorage,
2020-07-29,Anchorage,1.0
2020-07-30,Anchorage,
2020-07-31,Anchorage,1.0
2020-08-01,Anchorage,1.0
2020-08-02,Anchorage,
2020-08-03,Anchorage,2.0
2020-03-12,Gulf Coast,
2020-04-04,Gulf Coast,
2020-04-08,Gulf Coast,
2020-04-10,Gulf Coast,
2020-04-15,Gulf Coast,
2020-05-06,Gulf Coast,1.0
2020-05-08,Gulf Coast,
2020-05-14,Gulf Coast,
2020-05-15,Gulf Coast,
2020-05-16,Gulf Coast,
2020-05-19,Gulf Coast,
2020-05-22,Gulf Coast,1.0
2020-05-24,Gulf Coast,2.0
2020-05-25,Gulf Coast,
2020-05-28,Gulf Coast,1.0
2020-05-29,Gulf Coast,1.0
2020-05-30,Gulf Coast,
2020-06-01,Gulf Coast,1.0
2020-06-02,Gulf Coast,
2020-06-03,Gulf Coast,13.0
2020-06-04,Gulf Coast,
2020-06-05,Gulf Coast,
2020-06-06,Gulf Coast,
2020-06-07,Gulf Coast,1.0
2020-06-08,Gulf Coast,
2020-06-09,Gulf Coast,1.0
2020-06-10,Gulf Coast,
2020-06-11,Gulf Coast,
2020-06-12,Gulf Coast,1.0
2020-06-13,Gulf Coast,
2020-06-14,Gulf Coast,
2020-06-15,Gulf Coast,
2020-06-16,Gulf Coast,
2020-06-17,Gulf Coast,
2020-06-18,Gulf Coast,2.0
2020-06-19,Gulf Coast,
2020-06-20,Gulf Coast,
2020-06-21,Gulf Coast,
2020-06-22,Gulf Coast,2.0
2020-06-23,Gulf Coast,1.0
2020-06-24,Gulf Coast,2.0
2020-06-25,Gulf Coast,
2020-06-26,Gulf Coast,1.0
2020-06-27,Gulf Coast,
2020-06-28,Gulf Coast,2.0
2020-06-29,Gulf Coast,3.0
2020-06-30,Gulf Coast,
2020-07-01,Gulf Coast,5.0
2020-07-02,Gulf Coast,3.0
2020-07-03,Gulf Coast,2.0
2020-07-04,Gulf Coast,1.0
2020-07-05,Gulf Coast,
2020-07-06,Gulf Coast,1.0
2020-07-07,Gulf Coast,1.0
2020-07-08,Gulf Coast,1.0
2020-07-09,Gulf Coast,
2020-07-10,Gulf Coast,
2020-07-11,Gulf Coast,14.0
2020-07-12,Gulf Coast,1.0
2020-07-13,Gulf Coast,1.0
2020-07-14,Gulf Coast,
2020-07-15,Gulf Coast,3.0
2020-07-16,Gulf Coast,4.0
2020-07-17,Gulf Coast,
2020-07-18,Gulf Coast,
2020-07-19,Gulf Coast,3.0
2020-07-20,Gulf Coast,4.0
2020-07-21,Gulf Coast,
2020-07-22,Gulf Coast,1.0
2020-07-23,Gulf Coast,6.0
2020-07-24,Gulf Coast,25.0
2020-07-25,Gulf Coast,38.0
2020-07-26,Gulf Coast,8.0
2020-07-27,Gulf Coast,5.0
2020-07-28,Gulf Coast,15.0
2020-07-29,Gulf Coast,24.0
2020-07-30,Gulf Coast,2.0
2020-07-31,Gulf Coast,1.0
2020-08-01,Gulf Coast,3.0
2020-08-02,Gulf Coast,12.0
2020-08-03,Gulf Coast,2.0
2020-03-12,Interior,
2020-04-04,Interior,1.0
2020-04-08,Interior,
2020-04-10,Interior,
2020-04-15,Interior,1.0
2020-05-06,Interior,
2020-05-08,Interior,
2020-05-14,Interior,
2020-05-15,Interior,
2020-05-16,Interior,
2020-05-19,Interior,
2020-05-22,Interior,
2020-05-24,Interior,
2020-05-25,Interior,
2020-05-28,Interior,
2020-05-29,Interior,
2020-05-30,Interior,
2020-06-01,Interior,
2020-06-02,Interior,
2020-06-03,Interior,
2020-06-04,Interior,
2020-06-05,Interior,
2020-06-06,Interior,
2020-06-07,Interior,
2020-06-08,Interior,
2020-06-09,Interior,
2020-06-10,Interior,
2020-06-11,Interior,
2020-06-12,Interior,1.0
2020-06-13,Interior,
2020-06-14,Interior,
2020-06-15,Interior,
2020-06-16,Interior,3.0
2020-06-17,Interior,2.0
2020-06-18,Interior,
2020-06-19,Interior,1.0
2020-06-20,Interior,
2020-06-21,Interior,
2020-06-22,Interior,2.0
2020-06-23,Interior,4.0
2020-06-24,Interior,1.0
2020-06-25,Interior,
2020-06-26,Interior,1.0
2020-06-27,Interior,2.0
2020-06-28,Interior,
2020-06-29,Interior,
2020-06-30,Interior,1.0
2020-07-01,Interior,
2020-07-02,Interior,2.0
2020-07-03,Interior,2.0
2020-07-04,Interior,1.0
2020-07-05,Interior,
2020-07-06,Interior,
2020-07-07,Interior,2.0
2020-07-08,Interior,
2020-07-09,Interior,
2020-07-10,Interior,6.0
2020-07-11,Interior,2.0
2020-07-12,Interior,2.0
2020-07-13,Interior,
2020-07-14,Interior,
2020-07-15,Interior,6.0
2020-07-16,Interior,
2020-07-17,Interior,3.0
2020-07-18,Interior,
2020-07-19,Interior,
2020-07-20,Interior,
2020-07-21,Interior,
2020-07-22,Interior,1.0
2020-07-23,Interior,
2020-07-24,Interior,
2020-07-25,Interior,3.0
2020-07-26,Interior,
2020-07-27,Interior,
2020-07-28,Interior,
2020-07-29,Interior,2.0
2020-07-30,Interior,
2020-07-31,Interior,
2020-08-01,Interior,1.0
2020-08-02,Interior,1.0
2020-08-03,Interior,1.0
2020-03-12,MatSu,
2020-04-04,MatSu,
2020-04-08,MatSu,
2020-04-10,MatSu,
2020-04-15,MatSu,
2020-05-06,MatSu,
2020-05-08,MatSu,
2020-05-14,MatSu,
2020-05-15,MatSu,
2020-05-16,MatSu,
2020-05-19,MatSu,
2020-05-22,MatSu,
2020-05-24,MatSu,
2020-05-25,MatSu,
2020-05-28,MatSu,
2020-05-29,MatSu,
2020-05-30,MatSu,
2020-06-01,MatSu,
2020-06-02,MatSu,
2020-06-03,MatSu,
2020-06-04,MatSu,
2020-06-05,MatSu,
2020-06-06,MatSu,
2020-06-07,MatSu,
2020-06-08,MatSu,
2020-06-09,MatSu,
2020-06-10,MatSu,1.0
2020-06-11,MatSu,
2020-06-12,MatSu,
2020-06-13,MatSu,
2020-06-14,MatSu,
2020-06-15,MatSu,
2020-06-16,MatSu,
2020-06-17,MatSu,
2020-06-18,MatSu,
2020-06-19,MatSu,
2020-06-20,MatSu,
2020-06-21,MatSu,
2020-06-22,MatSu,
2020-06-23,MatSu,1.0
2020-06-24,MatSu,
2020-06-25,MatSu,
2020-06-26,MatSu,
2020-06-27,MatSu,
2020-06-28,MatSu,1.0
2020-06-29,MatSu,
2020-06-30,MatSu,
2020-07-01,MatSu,
2020-07-02,MatSu,
2020-07-03,MatSu,
2020-07-04,MatSu,
2020-07-05,MatSu,
2020-07-06,MatSu,
2020-07-07,MatSu,
2020-07-08,MatSu,
2020-07-09,MatSu,
2020-07-10,MatSu,
2020-07-11,MatSu,
2020-07-12,MatSu,
2020-07-13,MatSu,1.0
2020-07-14,MatSu,
2020-07-15,MatSu,
2020-07-16,MatSu,
2020-07-17,MatSu,
2020-07-18,MatSu,
2020-07-19,MatSu,
2020-07-20,MatSu,1.0
2020-07-21,MatSu,1.0
2020-07-22,MatSu,
2020-07-23,MatSu,
2020-07-24,MatSu,
2020-07-25,MatSu,
2020-07-26,MatSu,
2020-07-27,MatSu,4.0
2020-07-28,MatSu,2.0
2020-07-29,MatSu,1.0
2020-07-30,MatSu,1.0
2020-07-31,MatSu,
2020-08-01,MatSu,
2020-08-02,MatSu,
2020-08-03,MatSu,
2020-03-12,Northern,
2020-04-04,Northern,
2020-04-08,Northern,
2020-04-10,Northern,
2020-04-15,Northern,
2020-05-06,Northern,
2020-05-08,Northern,
2020-05-14,Northern,
2020-05-15,Northern,
2020-05-16,Northern,
2020-05-19,Northern,
2020-05-22,Northern,
2020-05-24,Northern,
2020-05-25,Northern,
2020-05-28,Northern,
2020-05-29,Northern,
2020-05-30,Northern,
2020-06-01,Northern,
2020-06-02,Northern,
2020-06-03,Northern,
2020-06-04,Northern,
2020-06-05,Northern,
2020-06-06,Northern,
2020-06-07,Northern,
2020-06-08,Northern,
2020-06-09,Northern,
2020-06-10,Northern,
2020-06-11,Northern,
2020-06-12,Northern,
2020-06-13,Northern,
2020-06-14,Northern,
2020-06-15,Northern,
2020-06-16,Northern,1.0
2020-06-17,Northern,
2020-06-18,Northern,
2020-06-19,Northern,
2020-06-20,Northern,
2020-06-21,Northern,
2020-06-22,Northern,
2020-06-23,Northern,
2020-06-24,Northern,
2020-06-25,Northern,1.0
2020-06-26,Northern,
2020-06-27,Northern,
2020-06-28,Northern,
2020-06-29,Northern,
2020-06-30,Northern,
2020-07-01,Northern,
2020-07-02,Northern,
2020-07-03,Northern,
2020-07-04,Northern,
2020-07-05,Northern,
2020-07-06,Northern,
2020-07-07,Northern,
2020-07-08,Northern,
2020-07-09,Northern,
2020-07-10,Northern,1.0
2020-07-11,Northern,1.0
2020-07-12,Northern,
2020-07-13,Northern,
2020-07-14,Northern,
2020-07-15,Northern,
2020-07-16,Northern,
