date,region,cases
2020-03-16,Interior,2
2020-03-16,Southeast,1
2020-03-17,Anchorage,2
2020-03-17,Interior,1
2020-03-17,Southeast,2
2020-03-18,Anchorage,2
2020-03-18,Gulf Coast,1
2020-03-19,Interior,3
2020-03-20,Southeast,1
2020-03-21,Anchorage,2
2020-03-21,Gulf Coast,2
2020-03-21,Interior,1
2020-03-21,Southeast,5
2020-03-22,Anchorage,9
2020-03-22,MatSu,2
2020-03-22,Southeast,2
2020-03-23,Anchorage,1
2020-03-23,Gulf Coast,1
2020-03-23,Interior,2
2020-03-24,Anchorage,4
2020-03-24,Southeast,3
2020-03-25,Anchorage,9
2020-03-25,Gulf Coast,1
2020-03-25,Interior,4
2020-03-26,Anchorage,5
2020-03-26,Interior,4
2020-03-26,Southeast,2
2020-03-27,Anchorage,10
2020-03-27,Interior,6
2020-03-27,Southeast,1
2020-03-28,Anchorage,14
2020-03-28,Gulf Coast,2
2020-03-28,Interior,2
2020-03-28,Southeast,1
2020-03-29,Anchorage,2
2020-03-29,Gulf Coast,1
2020-03-29,Interior,4
2020-03-29,Southeast,1
2020-03-30,Anchorage,2
2020-03-30,Interior,7
2020-03-30,MatSu,1
2020-03-31,Anchorage,3
2020-03-31,Gulf Coast,1
2020-03-31,Interior,5
2020-03-31,Southeast,4
2020-04-01,Anchorage,2
2020-04-01,Interior,3
2020-04-01,MatSu,1
2020-04-01,Southeast,2
2020-04-02,Anchorage,7
2020-04-02,Gulf Coast,2
2020-04-02,Interior,1
2020-04-02,Southeast,1
2020-04-03,Anchorage,7
2020-04-03,Interior,3
2020-04-03,Southeast,1
2020-04-04,Anchorage,4
2020-04-04,Gulf Coast,1
2020-04-04,Interior,7
2020-04-04,Southeast,2
2020-04-05,Anchorage,3
2020-04-05,Gulf Coast,1
2020-04-05,Interior,1
2020-04-05,Southeast,1
2020-04-06,Anchorage,10
2020-04-06,Interior,11
2020-04-06,Southwest,1
2020-04-07,Anchorage,6
2020-04-07,Interior,5
2020-04-07,MatSu,2
2020-04-08,Anchorage,5
2020-04-08,Gulf Coast,1
2020-04-08,Interior,2
2020-04-08,MatSu,1
2020-04-09,Anchorage,3
2020-04-09,Gulf Coast,1
2020-04-09,Interior,4
2020-04-09,MatSu,2
2020-04-09,Southeast,1
2020-04-10,Anchorage,9
2020-04-10,MatSu,1
2020-04-10,Southeast,1
2020-04-11,Anchorage,6
2020-04-11,Interior,3
2020-04-11,MatSu,4
2020-04-11,Southeast,2
2020-04-12,Anchorage,4
2020-04-12,Southeast,1
2020-04-13,Anchorage,5
2020-04-13,MatSu,1
2020-04-13,Southeast,2
2020-04-14,Anchorage,3
2020-04-14,Gulf Coast,1
2020-04-14,Northern,1
2020-04-14,Southeast,3
2020-04-15,Anchorage,4
2020-04-15,Gulf Coast,1
2020-04-15,Southeast,2
2020-04-16,Anchorage,7
2020-04-16,Gulf Coast,1
2020-04-16,Southeast,1
2020-04-17,Anchorage,1
2020-04-17,Gulf Coast,2
2020-04-17,MatSu,2
2020-04-18,Anchorage,3
2020-04-18,MatSu,1
2020-04-18,Southeast,1
2020-04-19,Anchorage,1
2020-04-19,MatSu,1
2020-04-20,Anchorage,5
2020-04-20,Southeast,3
2020-04-21,Anchorage,4
2020-04-21,MatSu,1
2020-04-21,Southeast,1
2020-04-22,Anchorage,2
2020-04-23,Anchorage,2
2020-04-25,Interior,1
2020-04-25,Southeast,1
2020-04-26,Anchorage,3
2020-04-26,MatSu,1
2020-04-27,Anchorage,4
2020-04-27,Interior,1
2020-04-27,Southeast,1
2020-04-28,Anchorage,4
2020-04-30,Anchorage,6
2020-04-30,Gulf Coast,2
2020-04-30,Interior,1
2020-05-01,Interior,1
2020-05-02,Anchorage,2
2020-05-02,Gulf Coast,1
2020-05-03,Anchorage,2
