date,cases,recoveries,deaths,hospitalizations,region,active_cases,nonresident_cases,total_cases
2020-03-12,4,1,0,0,Statewide,19,1.0,5.0
2020-04-04,9,7,1,1,Statewide,178,1.0,10.0
2020-04-08,4,6,0,2,Statewide,163,1.0,5.0
2020-04-10,6,8,1,0,Statewide,163,1.0,7.0
2020-04-15,2,18,0,0,Statewide,112,1.0,3.0
2020-05-06,1,5,0,0,Statewide,45,1.0,2.0
2020-05-08,0,6,0,0,Statewide,35,1.0,1.0
2020-05-14,3,5,0,1,Statewide,35,1.0,4.0
2020-05-15,3,0,0,0,Statewide,38,1.0,4.0
2020-05-16,3,2,0,0,Statewide,39,1.0,4.0
2020-05-19,3,2,0,2,Statewide,40,2.0,5.0
2020-05-22,4,0,0,0,Statewide,46,1.0,5.0
2020-05-24,6,2,0,0,Statewide,51,2.0,8.0
2020-05-25,6,0,0,0,Statewide,57,2.0,8.0
2020-05-28,10,1,0,0,Statewide,82,1.0,11.0
2020-05-29,16,4,0,0,Statewide,94,2.0,18.0
2020-05-30,17,1,0,1,Statewide,110,1.0,18.0
2020-06-01,21,3,0,0,Statewide,132,1.0,22.0
2020-06-02,17,1,0,1,Statewide,148,1.0,18.0
2020-06-03,9,1,0,0,Statewide,156,18.0,27.0
2020-06-04,16,3,0,0,Statewide,169,2.0,18.0
2020-06-05,19,5,0,0,Statewide,183,2.0,21.0
2020-06-06,10,3,0,0,Statewide,190,1.0,11.0
2020-06-07,16,3,1,0,Statewide,202,1.0,17.0
2020-06-08,15,2,1,1,Statewide,214,2.0,17.0
2020-06-09,23,10,0,1,Statewide,227,2.0,25.0
2020-06-10,14,13,0,1,Statewide,228,9.0,23.0
2020-06-11,11,8,1,1,Statewide,230,7.0,18.0
2020-06-12,18,8,0,3,Statewide,240,8.0,26.0
2020-06-13,15,9,0,1,Statewide,246,3.0,18.0
2020-06-14,5,13,0,0,Statewide,238,1.0,6.0
2020-06-15,10,12,0,0,Statewide,236,1.0,11.0
2020-06-16,16,6,0,2,Statewide,246,5.0,21.0
2020-06-17,15,10,0,1,Statewide,251,7.0,22.0
2020-06-18,15,11,0,0,Statewide,255,12.0,27.0
2020-06-19,14,14,0,0,Statewide,255,2.0,16.0
2020-06-20,12,4,0,0,Statewide,263,3.0,15.0
2020-06-21,15,4,0,1,Statewide,274,4.0,19.0
2020-06-22,21,9,0,0,Statewide,286,18.0,39.0
2020-06-23,26,8,0,0,Statewide,304,9.0,35.0
2020-06-24,28,4,0,0,Statewide,328,20.0,48.0
2020-06-25,26,6,0,1,Statewide,348,11.0,37.0
2020-06-26,24,4,0,0,Statewide,368,8.0,32.0
2020-06-27,36,6,0,0,Statewide,398,3.0,39.0
2020-06-28,28,5,0,0,Statewide,421,4.0,32.0
