ADMIN_DATE,JSN,MOD,OTH,PFR,UNK,total
2020-12-15,0.0,1.0,0.0,127.0,0.0,128.0
2020-12-16,0.0,0.0,0.0,1179.0,0.0,1179.0
2020-12-17,0.0,0.0,0.0,2303.0,0.0,2303.0
2020-12-18,0.0,0.0,0.0,3108.0,0.0,3108.0
2020-12-19,0.0,0.0,0.0,883.0,0.0,883.0
2020-12-20,0.0,0.0,0.0,394.0,0.0,394.0
2020-12-21,0.0,1.0,0.0,1844.0,0.0,1845.0
2020-12-22,0.0,89.0,0.0,1249.0,0.0,1338.0
2020-12-23,0.0,400.0,0.0,1773.0,0.0,2173.0
2020-12-24,0.0,142.0,0.0,268.0,0.0,410.0
2020-12-26,0.0,1.0,0.0,120.0,0.0,121.0
2020-12-27,0.0,0.0,0.0,13.0,0.0,13.0
2020-12-28,0.0,268.0,0.0,1378.0,0.0,1646.0
2020-12-29,0.0,1092.0,0.0,1192.0,0.0,2284.0
2020-12-30,0.0,912.0,0.0,1570.0,0.0,2482.0
2020-12-31,0.0,735.0,0.0,772.0,0.0,1507.0
2021-01-01,0.0,22.0,0.0,9.0,0.0,31.0
2021-01-02,0.0,25.0,0.0,151.0,0.0,176.0
2021-01-03,0.0,62.0,0.0,90.0,0.0,152.0
2021-01-04,0.0,1010.0,0.0,679.0,0.0,1689.0
2021-01-05,0.0,1144.0,0.0,915.0,0.0,2059.0
2021-01-06,0.0,1606.0,0.0,1320.0,0.0,2926.0
2021-01-07,0.0,2343.0,0.0,949.0,0.0,3292.0
2021-01-08,0.0,2212.0,0.0,1164.0,0.0,3376.0
2021-01-09,0.0,607.0,0.0,700.0,0.0,1307.0
2021-01-10,0.0,24.0,0.0,936.0,0.0,960.0
2021-01-11,0.0,2239.0,0.0,1228.0,0.0,3467.0
2021-01-12,0.0,3205.0,0.0,2278.0,0.0,5483.0
2021-01-13,0.0,3069.0,0.0,2011.0,0.0,5080.0
2021-01-14,0.0,4474.0,0.0,2298.0,0.0,6772.0
2021-01-15,0.0,3831.0,0.0,2742.0,0.0,6573.0
2021-01-16,0.0,2347.0,0.0,1433.0,0.0,3780.0
2021-01-17,0.0,173.0,0.0,473.0,0.0,646.0
2021-01-18,0.0,719.0,0.0,671.0,0.0,1390.0
2021-01-19,0.0,2515.0,0.0,1390.0,0.0,3905.0
2021-01-20,0.0,1977.0,0.0,1529.0,0.0,3506.0
2021-01-21,0.0,2743.0,0.0,1578.0,1.0,4322.0
2021-01-22,0.0,1295.0,0.0,1823.0,0.0,3118.0
2021-01-23,0.0,1358.0,0.0,1508.0,0.0,2866.0
2021-01-24,0.0,25.0,0.0,45.0,0.0,70.0
2021-01-25,0.0,796.0,0.0,1470.0,0.0,2266.0
2021-01-26,0.0,1199.0,0.0,1324.0,0.0,2523.0
2021-01-27,0.0,1027.0,0.0,2010.0,1.0,3038.0
2021-01-28,0.0,1356.0,0.0,1882.0,0.0,3238.0
2021-01-29,0.0,883.0,0.0,1849.0,0.0,2732.0
2021-01-30,0.0,792.0,0.0,915.0,0.0,1707.0
2021-01-31,0.0,96.0,0.0,30.0,0.0,126.0
2021-02-01,0.0,599.0,0.0,323.0,0.0,922.0
2021-02-02,0.0,622.0,0.0,761.0,0.0,1383.0
2021-02-03,0.0,754.0,0.0,1403.0,0.0,2157.0
2021-02-04,1.0,910.0,0.0,1844.0,0.0,2755.0
2021-02-05,0.0,2760.0,0.0,1195.0,0.0,3955.0
2021-02-06,0.0,1087.0,0.0,1836.0,0.0,2923.0
2021-02-07,0.0,13.0,0.0,911.0,0.0,924.0
2021-02-08,0.0,772.0,0.0,674.0,0.0,1446.0
2021-02-09,0.0,1215.0,0.0,2500.0,0.0,3715.0
